"regon14","nip","nazwa","woj","pow","gmi","miej","ul","nr","lok","miej_naz","ul_naz"
"27671998700000","6472209785","POWIATOWY URZĄD PRACY","24","15","041","0944853","12692","12","","Wodzisław Śląski","ul. Józefa Michalskiego"
"27672815300000","6321728843","POWIATOWY URZĄD PRACY W JAWORZNIE","24","68","011","0940335","17421","9 B","","Jaworzno","ul. Północna"
"27672977300000","6262489169","POWIATOWY URZĄD PRACY W BYTOMIU","24","62","011","0938670","11497","15","","Bytom","ul. Łagiewnicka"
"27675325700000","6312262256","POWIATOWY URZĄD PRACY W GLIWICACH","24","66","011","0940000","06920","12","","Gliwice","pl. Inwalidów Wojennych"
"27675467600000","6291522805","POWIATOWY URZĄD PRACY W DĄBROWIE GÓRNICZEJ","24","65","011","0939473","20431","12","","Dąbrowa Górnicza","ul. Jana III Sobieskiego"
"27676569700000","2220042071","POWIATOWY URZĄD PRACY W MYSŁOWICACH","24","70","011","0941487","12898","4 A","","Mysłowice","ul. Mikołowska"
"27676581700000","9542223907","POWIATOWY URZĄD PRACY W KATOWICACH","24","69","011","0937474","17255","14","","Katowice","ul. Pawła Pośpiecha"
"27681882100000","6422658110","POWIATOWY URZĄD PRACY W RYBNIKU","24","73","011","0942765","07181","1","","Rybnik","ul. Jankowicka"
"27685569600000","9542353828","WOJEWÓDZKI URZĄD PRACY","24","69","011","0937474","09582","30","","Katowice","ul. Tadeusza Kościuszki"
"27757702900000","6431625452","POWIATOWY URZĄD PRACY W SIEMIANOWICACH ŚLĄSKICH","24","74","011","0943150","25133","17","","Siemianowice Śląskie","ul. Wyzwolenia"
"27758524700000","6272419905","POWIATOWY URZĄD PRACY W ŚWIĘTOCHŁOWICACH","24","76","011","0943724","16466","3","","Świętochłowice","ul. Plebiscytowa"
"27758877700000","4980148586","POWIATOWY URZAD PRACY W PIEKARACH ŚLĄSKICH","24","71","011","0942104","48112","14","","Piekary Śląskie","ul. Ks. Jerzego Popiełuszki"
"27766035100000","6351653759","POWIATOWY URZĄD PRACY W MIKOŁOWIE","24","08","011","0941139","02844","8","","Łaziska Górne","ul. Chopina"
"29114005000000","6641037193","POWIATOWY URZĄD PRACY W STARACHOWICACH","26","11","011","0947930","18316","76","","Starachowice","ul. Radomska"
"29114014900000","6611015867","POWIATOWY URZĄD PRACY W OSTROWCU ŚW.","26","07","011","0947308","30066","36","","Ostrowiec Świętokrzyski","Aleja 3 Maja"
"29114178100000","6631403213","POWIATOWY URZĄD PRACY W SKARŻYSKU-KAMIENNEJ","26","10","011","0947716","19900","20","","Skarżysko-Kamienna","ul. Sikorskiego"
"29114196000000","8641146227","POWIATOWY URZĄD PRACY W SANDOMIERZU","26","09","011","0980926","12740","34","","Sandomierz","ul. Adama Mickiewicza"
"29114225000000","6581177860","POWIATOWY URZĄD PRACY","26","05","034","0947136","21071","2","","Końskie","ul. Stanisława Staszica"
"29114308200000","8661293380","POWIATOWY URZĄD PRACY W STASZOWIE","26","12","074","0981274","21970","4","","Staszów","ul. Szkolna"
"29114398100000","6551044953","POWIATOWY URZĄD PRACY W BUSKU-ZDROJU","26","01","014","0946651","01679","120","","Busko-Zdrój","ul. Bohaterów Warszawy"
"29114491100000","6561711782","POWIATOWY URZĄD PRACY W JĘDRZEJOWIE","26","02","024","0947030","14909","49B","","Jędrzejów","ul. Okrzei"
"29114584000000","6561720479","POWIATOWY URZĄD PRACY WE WŁOSZCZOWIE","26","13","064","0948472","21271","11","","Włoszczowa","ul. Strażacka"
"29114690400000","8631234177","POWIATOWY URZĄD PRACY W OPATOWIE","26","06","044","0980671","15733","13","","Opatów","ul. Partyzantów"
"29114754200000","6621041990","POWIATOWY URZĄD PRACY W PIŃCZOWIE","26","08","044","0947580","26188","7","","Pińczów","ul. Złota"
"29114817400000","6621335616","POWIATOWY URZĄD PRACY","26","03","034","0947076","15733","29","","Kazimierza Wielka","ul. Partyzantów"
"29114910400000","9590829453","POWIATOWY URZĄD PRACY W KIELCACH","26","61","011","0945930","08812","4","","Kielce","ul. Oskara Kolberga"
"29234674600000","9591457717","WOJEWÓDZKI URZĄD PRACY W KIELCACH","26","61","011","0945930","24459","86","","Kielce","ul. Wincentego Witosa"
"31001779100000","6651654898","POWIATOWY URZĄD PRACY W KONINIE","30","62","011","0948667","25449","4","","Konin","ul. Zakładowa"
"31001783900000","6671010253","POWIATOWY URZĄD PRACY W SŁUPCY","30","23","011","0949247","16057","2","","Słupca","ul. Piastów"
"31109608300000","6661065896","POWIATOWY URZĄD PRACY","30","09","011","0949052","19834","27","","Koło","ul. Henryka Sienkiewicza"
"31109664000000","6681364395","POWIATOWY URZĄD PRACY W TURKU","30","27","011","0949336","09095","6","","Turek","ul. Komunalna"
"33103383600000","6721761519","POWIATOWY URZĄD PRACY","32","16","011","0950322","09009","3","","Świdwin","ul. Kołobrzeska"
"33103653300000","6731666478","POWIATOWY URZĄD PRACY W SZCZECINKU","32","15","011","0950262","09509","91","","Szczecinek","ul. Koszalińska"
"33103667400000","6692254612","POWIATOWY URZĄD PRACY","32","61","011","0949448","18273","13","","Koszalin","ul. Racławicka"
"33103688100000","6711600401","POWIATOWY URZĄD PRACY","32","08","011","0950026","08202","46-48","","Kołobrzeg","ul. Katedralna"
"33103725400000","2530059663","POWIATOWY URZĄD PRACY","32","03","024","0949862","20941","9","","Drawsko Pomorskie","ul. Starogrodzka"
"33103864400000","8392381827","POWIATOWY URZĄD PRACY","32","13","021","0977410","19674","2 A","","Sławno","ul. Stefanii Sempołowskiej"
"33104201900000","6721765227","POWIATOWY URZĄD PRACY","32","01","011","0949690","22466","21A","","Białogard","ul. Świdwińska"
"33105784800000","7651014142","POWIATOWY URZĄD PRACY","32","17","011","0967245","24628","41","","Wałcz","ul. Wojska Polskiego"
"35711223100000","5512128125","POWIATOWY URZĄD PRACY W WADOWICACH","12","18","094","0926921","12740","27","","Wadowice","ul. Adama Mickiewicza"
"35711341400000","5491250386","POWIATOWY URZĄD PRACY W OŚWIĘCIMIU","12","13","011","0924997","25084","10","","Oświęcim","ul. Stanisława Wyspiańskiego"
"35711407500000","6762129505","WOJEWÓDZKI URZĄD PRACY W KRAKOWIE","12","61","029","0950470","52827","1","","Kraków","Plac Na Stawach"
"35711409800000","5521234536","POWIATOWY URZĄD PRACY W SUCHEJ BESKIDZKIEJ","12","15","021","0925287","12740","31","","Sucha Beskidzka","ul. Adama Mickiewicza"
"35711718000000","6772133193","URZĄD PRACY POWIATU KRAKOWSKIEGO","12","06","152","0342108","23884","48","","Szyce","ul. Wesoła"
"35711718000012","6772133193","URZĄD PRACY POWIATU KRAKOWSKIEGO","12","61","029","0950470","12540","21","","Kraków","ul. Mazowiecka"
"35711816200000","6811692029","POWIATOWY URZĄD PRACY","12","09","034","0951617","04247","2","","Myślenice","ul. Drogowców"
"35712393800000","6821533930","POWIATOWY URZĄD PRACY W PROSZOWICACH","12","14","054","0951818","09796","11","","Proszowice","ul. Krakowska"
"35712492600000","6782748246","GRODZKI URZĄD PRACY W KRAKOWIE","12","61","039","0950718","23810","34","","Kraków","ul. Wąwozowa"
"35712603200000","6831404714","POWIATOWY URZĄD PRACY W WIELICZCE","12","19","054","0952232","19834","13A","","Wieliczka","ul. Henryka Sienkiewicza"
"35712865700000","6281666974","POWIATOWY URZĄD PRACY","12","03","034","0938982","20291","8","","Chrzanów","ul. Juliusza Słowackiego"
"35713992200000","6591161754","POWIATOWY URZĄD PRACY","12","08","054","0947225","19834","27","","Miechów","ul. Henryka Sienkiewicza"
"35722801100000","6371045891","POWIATOWY URZĄD PRACY W OLKUSZU","12","12","054","0941777","12979","2","","Olkusz","ul. Antoniego Minkiewicza"
"37048672800000","6861262503","POWIATOWY URZĄD PRACY W BRZOZOWIE","18","02","014","0952841","19252","9","","Brzozów","Rynek"
"37048686900000","6842148261","POWIATOWY URZĄD PRACY W KROŚNIE","18","61","011","0952410","01326","5","","Krosno","ul. Bieszczadzka"
"37048721900000","6851010970","POWIATOWY URZĄD PRACY W JAŚLE","18","05","011","0953059","19253","18","","Jasło","ul. Rynek"
"37048726000000","6871259655","POWIATOWY URZĄD PRACY W SANOKU","18","17","011","0953510","19237","20A","","Sanok","ul. Rymanowska"
"37048869600000","8191258505","POWIATOWY URZĄD PRACY W STRZYŻOWIE","18","19","044","0975010","03635","2","","Strzyżów","ul. Daszyńskiego"
"37048938800000","6891003290","POWIATOWY URZĄD PRACY W USTRZYKACH DOLNYCH","18","01","084","0953817","01000","22","","Ustrzyki Dolne","ul. Bełska"
"37103438800000","6881231693","POWIATOWY URZĄD PRACY W LESKU","18","21","034","0953409","08265","4","","Lesko","ul. Kazimierza Wielkiego"
